query,estimated_rows,actual_rows,startup_cost,total_cost,execution_time_ms,q_error,correlation_feature,join_count,selectivity,predicate_count,estimated_selectivity,query_complexity,correlation_strength
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2379377,2401529,100588.53,559876.74,3672.039,1.0093100000546362,0.9984,2,0.4001737981392101,6,0.4001737981392101,12,4.802085577670521
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'O'
        AND o_totalprice > 1000;",728407,731971,0.0,50172.0,308.708,1.0048928689592491,0.0258,0,0.4879806666666667,4,0.4879806666666667,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'O'
        AND o.o_totalprice > 1000;",728407,731971,10545.0,98288.6,888.982,1.0048928689592491,0.0258,1,0.4879806666666667,4,0.4879806666666667,4,1.9519226666666667
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,373.978,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",319,0,199579.12,204270.94,437.237,319.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,436.652,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",419472,412781,61281.25,290565.28,1619.349,1.0162095639091917,0.9984,2,0.0687829047951123,6,0.0687829047951123,12,0.8253948575413477
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,513.173,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",908584,909381,61281.25,362207.35,2004.974,1.0008771891206536,0.9984,2,0.1515328146050424,6,0.1515328146050424,12,1.8183937752605086
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1126.618,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1402542,1404661,61281.25,434560.01,2372.084,1.0015108281962322,0.9984,2,0.2340627689559531,6,0.2340627689559531,12,2.808753227471437
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1210.602,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1892078,1903577,100588.53,502399.33,3468.801,1.0060774450101952,0.9984,2,0.3171986006167084,6,0.3171986006167084,12,3.8063832074005006
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1310.544,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2379377,2401529,100588.53,559876.74,3652.065,1.0093100000546362,0.9984,2,0.4001737981392101,6,0.4001737981392101,12,4.802085577670521
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'P'
        AND o_totalprice > 1000;",38795,38543,1000.0,41926.5,126.318,1.0065381521936538,0.0258,0,0.0256953333333333,4,0.025695333333333303,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'P'
        AND o.o_totalprice > 1000;",38795,38543,38249.06,47324.04,144.091,1.0065381521936538,0.0258,1,0.0256953333333333,4,0.025695333333333303,4,0.1027813333333332
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,374.106,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",319,0,199579.12,204270.94,440.308,319.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,436.063,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",419472,412781,61281.25,290565.28,1619.881,1.0162095639091917,0.9984,2,0.0687829047951123,6,0.0687829047951123,12,0.8253948575413477
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,510.988,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",908584,909381,61281.25,362207.35,1975.622,1.0008771891206536,0.9984,2,0.1515328146050424,6,0.1515328146050424,12,1.8183937752605086
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1133.592,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1402542,1404661,61281.25,434560.01,2378.653,1.0015108281962322,0.9984,2,0.2340627689559531,6,0.2340627689559531,12,2.808753227471437
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1212.084,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1892078,1903577,100588.53,502399.33,3457.601,1.0060774450101952,0.9984,2,0.3171986006167084,6,0.3171986006167084,12,3.8063832074005006
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1291.524,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 1000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2379377,2401529,100588.53,559876.74,3663.638,1.0093100000546362,0.9984,2,0.4001737981392101,6,0.4001737981392101,12,4.802085577670521
"SELECT *
    FROM orders
    WHERE o_totalprice > 3500;",1491211,1491485,0.0,46422.0,320.013,1.0001837432797906,0.0258,0,0.9943233333333332,2,0.9943233333333332,0,0.0
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 3500;",728407,725163,0.0,50172.0,365.434,1.0044734769975854,0.0258,0,0.483442,4,0.48344200000000004,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 3500;",728407,725163,10545.0,98288.6,903.891,1.0044734769975854,0.0258,1,0.483442,4,0.48344200000000004,4,1.933768
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,371.232,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",317,0,199538.81,204230.43,437.683,317.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,435.151,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",417068,412190,61177.47,290087.99,1635.85,1.0118343482374632,0.9984,2,0.068684424737324,6,0.068684424737324,12,0.824213096847888
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,510.704,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",903376,908066,61177.47,361367.56,1974.113,1.0051916367049822,0.9984,2,0.1513136923106404,6,0.1513136923106404,12,1.8157643077276848
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1142.855,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1394503,1402651,61177.47,433350.85,2360.887,1.0058429418939938,0.9984,2,0.2337278367797187,6,0.2337278367797187,12,2.8047340413566246
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1205.4,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1881232,1900864,100267.4,500844.78,3450.119,1.0104357144679657,0.9984,2,0.3167465254952539,6,0.3167465254952539,12,3.8009583059430465
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1287.841,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2365739,2398041,100267.4,558038.14,3672.96,1.013654084410833,0.9984,2,0.3995925825020433,6,0.3995925825020433,12,4.79511099002452
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'O'
        AND o_totalprice > 3500;",724232,727780,0.0,50172.0,302.82,1.0048989826464447,0.0258,0,0.4851866666666666,4,0.4851866666666666,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'O'
        AND o.o_totalprice > 3500;",724232,727780,10545.0,98093.19,885.275,1.0048989826464447,0.0258,1,0.4851866666666666,4,0.4851866666666666,4,1.9407466666666664
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,374.591,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",317,0,199538.81,204230.43,437.775,317.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,433.163,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",417068,412190,61177.47,290087.99,1618.193,1.0118343482374632,0.9984,2,0.068684424737324,6,0.068684424737324,12,0.824213096847888
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,541.026,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",903376,908066,61177.47,361367.56,1982.885,1.0051916367049822,0.9984,2,0.1513136923106404,6,0.1513136923106404,12,1.8157643077276848
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1122.834,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1394503,1402651,61177.47,433350.85,2372.777,1.0058429418939938,0.9984,2,0.2337278367797187,6,0.2337278367797187,12,2.8047340413566246
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1204.157,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1881232,1900864,100267.4,500844.78,3411.834,1.0104357144679657,0.9984,2,0.3167465254952539,6,0.3167465254952539,12,3.8009583059430465
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1285.179,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2365739,2398041,100267.4,558038.14,3789.267,1.013654084410833,0.9984,2,0.3995925825020433,6,0.3995925825020433,12,4.79511099002452
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'P'
        AND o_totalprice > 3500;",38573,38542,1000.0,41904.3,122.684,1.000804317368066,0.0258,0,0.0256946666666666,4,0.0256946666666666,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'P'
        AND o.o_totalprice > 3500;",38573,38542,38247.9,47300.29,143.456,1.000804317368066,0.0258,1,0.0256946666666666,4,0.0256946666666666,4,0.1027786666666664
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,368.558,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",317,0,199538.81,204230.43,434.191,317.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,435.246,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",417068,412190,61177.47,290087.99,1569.809,1.0118343482374632,0.9984,2,0.068684424737324,6,0.068684424737324,12,0.824213096847888
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,504.445,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",903376,908066,61177.47,361367.56,1934.292,1.0051916367049822,0.9984,2,0.1513136923106404,6,0.1513136923106404,12,1.8157643077276848
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1106.411,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1394503,1402651,61177.47,433350.85,2321.941,1.0058429418939938,0.9984,2,0.2337278367797187,6,0.2337278367797187,12,2.8047340413566246
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1193.955,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1881232,1900864,100267.4,500844.78,3444.727,1.0104357144679657,0.9984,2,0.3167465254952539,6,0.3167465254952539,12,3.8009583059430465
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1274.192,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 3500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2365739,2398041,100267.4,558038.14,3699.238,1.013654084410833,0.9984,2,0.3995925825020433,6,0.3995925825020433,12,4.79511099002452
"SELECT *
    FROM orders
    WHERE o_totalprice > 6000;",1482577,1483412,0.0,46422.0,313.668,1.0005632085213787,0.0258,0,0.9889413333333332,2,0.9889413333333332,0,0.0
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 6000;",724190,721118,0.0,50172.0,295.259,1.0042600517529725,0.0258,0,0.4807453333333333,4,0.4807453333333333,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 6000;",724190,721118,10545.0,98090.61,865.879,1.0042600517529725,0.0258,1,0.4807453333333333,4,0.4807453333333333,4,1.9229813333333332
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,380.947,1.0,0.9984,0,0.0,3,1e-06,0,0.0
