joins,where,groupby,orderby,length,runtime_ms
0,0,1,0,55,8.884668350219727
0,0,0,1,50,8.843660354614258
0,1,0,0,49,22.582054138183594
0,0,1,0,55,8.846044540405273
0,1,0,0,49,22.4301815032959
1,1,0,0,132,125.12731552124023
2,0,1,1,244,26.717185974121094
0,0,0,1,50,9.134531021118164
1,0,1,0,131,12.771844863891602
0,1,0,0,44,44.80099678039551
0,1,0,0,41,22.803068161010742
0,0,1,0,54,8.793115615844727
0,0,0,1,50,8.99362564086914
0,1,0,0,41,22.969961166381836
0,1,0,0,38,67.15917587280273
0,1,0,0,38,13.698101043701172
0,1,0,0,42,67.46196746826172
0,1,0,0,38,13.985395431518555
0,0,1,0,55,8.998394012451172
2,0,1,1,244,26.740312576293945
1,1,0,0,132,127.29859352111816
0,1,0,0,42,67.47579574584961
0,1,0,0,38,67.1076774597168
0,0,0,1,50,9.217023849487305
2,0,1,1,244,26.448488235473633
0,1,0,0,41,22.61042594909668
1,1,0,0,132,126.03163719177246
1,0,1,0,131,13.427972793579102
1,1,0,0,132,125.81801414489746
0,1,0,0,41,22.931575775146484
0,1,0,0,42,70.90926170349121
0,1,0,0,52,68.88103485107422
0,1,0,0,60,12.711524963378906
0,1,0,0,38,67.36493110656738
2,0,1,1,244,26.66306495666504
1,1,0,0,132,125.71454048156738
3,1,0,0,244,190.34981727600098
0,1,0,0,38,67.16060638427734
0,1,0,0,41,22.830486297607422
0,1,0,0,44,45.067787170410156
0,1,0,0,38,13.764381408691406
0,0,1,0,54,8.63504409790039
0,1,0,0,41,22.84383773803711
3,1,0,0,244,190.9019947052002
0,0,1,0,55,8.971929550170898
0,1,0,0,38,13.534784317016602
2,0,1,1,244,26.406526565551758
2,0,1,1,244,26.34882926940918
1,1,0,0,132,123.64053726196289
0,1,0,0,38,66.83993339538574
0,1,0,0,52,68.2978630065918
0,0,0,1,51,8.358240127563477
0,0,0,1,51,8.282899856567383
0,1,0,0,41,22.812604904174805
0,0,1,0,49,2.4814605712890625
3,1,0,0,244,189.4855499267578
0,1,0,0,41,22.932767868041992
0,1,0,0,41,22.64094352722168
0,1,0,0,42,67.22402572631836
0,1,0,0,60,12.482881546020508
0,1,0,0,41,22.96733856201172
0,1,0,0,44,44.98124122619629
0,1,0,0,52,68.78376007080078
1,1,0,0,132,126.32203102111816
0,0,1,0,55,9.067058563232422
0,1,0,0,60,13.28134536743164
0,1,0,0,41,22.976160049438477
0,1,0,0,44,46.031951904296875
2,0,1,1,244,26.63397789001465
0,0,1,0,54,8.750438690185547
0,0,0,1,50,8.966207504272461
0,1,0,0,41,23.046255111694336
0,1,0,0,60,12.369155883789062
1,0,1,0,131,13.042926788330078
0,1,0,0,41,22.829771041870117
0,1,0,0,49,23.030757904052734
0,0,0,1,50,9.116411209106445
1,0,1,0,131,12.920141220092773
0,0,1,0,54,8.620023727416992
0,1,0,0,38,83.40334892272949
0,0,1,0,54,8.735179901123047
0,1,0,0,52,67.78144836425781
3,1,0,0,244,189.86964225769043
3,1,0,0,244,192.305326461792
0,0,0,1,50,9.139776229858398
0,1,0,0,44,44.66652870178223
0,1,0,0,52,68.2673454284668
0,1,0,0,49,22.476911544799805
0,1,0,0,44,44.8000431060791
0,1,0,0,42,67.36993789672852
0,0,0,1,51,8.399248123168945
0,1,0,0,38,66.60079956054688
0,1,0,0,60,12.430667877197266
0,0,1,0,55,8.842229843139648
0,1,0,0,41,22.686243057250977
1,0,1,0,131,13.188362121582031
0,1,0,0,38,66.66064262390137
0,1,0,0,42,67.06070899963379
0,1,0,0,41,22.742748260498047
0,1,0,0,38,66.84160232543945
1,1,0,0,132,125.6098747253418
0,1,0,0,41,22.923946380615234
0,0,0,1,51,8.292436599731445
1,0,1,0,131,13.518810272216797
2,0,1,1,244,26.601552963256836
0,1,0,0,41,22.679567337036133
0,1,0,0,38,66.78342819213867
0,0,1,0,49,2.516031265258789
0,0,1,0,49,2.299785614013672
0,1,0,0,38,13.594865798950195
0,0,0,1,50,9.049654006958008
1,1,0,0,132,124.57704544067383
0,0,0,1,50,9.18126106262207
0,1,0,0,38,13.731002807617188
0,0,0,1,51,8.07499885559082
1,0,1,0,131,12.974739074707031
0,1,0,0,38,33.50496292114258
0,0,1,0,55,8.822441101074219
2,0,1,1,244,26.67546272277832
3,1,0,0,244,188.35830688476562
0,0,1,0,49,2.6154518127441406
0,1,0,0,38,66.89214706420898
0,0,0,1,51,8.25810432434082
0,1,0,0,52,68.88103485107422
0,0,1,0,55,9.11569595336914
0,0,0,1,51,8.111238479614258
0,1,0,0,60,12.653827667236328
0,1,0,0,44,45.77922821044922
0,1,0,0,41,22.833824157714844
0,0,1,0,54,8.784294128417969
0,0,1,0,54,8.415699005126953
0,1,0,0,41,23.075342178344727
0,1,0,0,42,67.48294830322266
0,1,0,0,52,68.44401359558105
0,0,0,1,51,8.416891098022461
0,1,0,0,42,67.56758689880371
0,1,0,0,38,66.93434715270996
0,1,0,0,52,67.49343872070312
2,0,1,1,244,26.72123908996582
0,1,0,0,49,22.738933563232422
0,0,0,1,51,8.12983512878418
0,0,1,0,55,8.794546127319336
3,1,0,0,244,189.8975372314453
0,1,0,0,52,70.2965259552002
0,1,0,0,41,23.27585220336914
0,0,1,0,55,9.31096076965332
0,0,1,0,55,8.59975814819336
0,1,0,0,42,82.98826217651367
2,0,1,1,244,26.803970336914062
0,1,0,0,60,12.365579605102539
0,1,0,0,38,33.50830078125
0,0,1,0,54,8.757352828979492
0,1,0,0,38,13.641595840454102
3,1,0,0,244,193.6042308807373
1,0,1,0,131,13.266324996948242
0,1,0,0,42,66.9863224029541
0,1,0,0,38,67.2757625579834
0,1,0,0,38,33.64872932434082
0,1,0,0,42,67.19446182250977
0,0,1,0,49,2.6748180389404297
0,1,0,0,60,12.267351150512695
1,1,0,0,132,124.17483329772949
0,0,1,0,49,2.5243759155273438
0,1,0,0,49,22.472381591796875
0,1,0,0,41,22.63355255126953
0,0,0,1,50,8.956193923950195
0,1,0,0,44,45.08709907531738
2,0,1,1,244,26.61585807800293
0,1,0,0,42,67.23237037658691
2,0,1,1,244,26.62038803100586
0,0,1,0,55,8.911848068237305
0,1,0,0,44,45.104265213012695
0,0,1,0,54,8.650779724121094
0,1,0,0,41,22.713899612426758
0,1,0,0,44,44.94619369506836
0,0,1,0,49,2.5482177734375
0,1,0,0,60,12.220621109008789
0,1,0,0,60,12.218475341796875
0,0,0,1,51,8.107185363769531
1,1,0,0,132,123.4283447265625
0,1,0,0,38,13.766050338745117
0,0,0,1,50,9.070158004760742
0,1,0,0,44,45.37320137023926
0,1,0,0,42,69.14591789245605
0,0,0,1,51,8.199214935302734
0,1,0,0,41,22.464513778686523
0,0,1,0,54,8.608341217041016
0,0,0,1,51,8.060455322265625
3,1,0,0,244,191.3917064666748
0,0,1,0,54,8.609294891357422
0,1,0,0,38,33.843278884887695
3,1,0,0,244,190.08302688598633
0,0,1,0,54,8.845090866088867
0,1,0,0,60,12.205362319946289
0,0,1,0,54,8.608818054199219
1,1,0,0,132,125.81253051757812
0,1,0,0,41,23.23007583618164
0,1,0,0,41,22.90797233581543
1,1,0,0,132,125.2446174621582
0,0,1,0,54,8.86678695678711
0,0,0,1,51,8.090734481811523
0,0,1,0,55,8.864402770996094
0,0,1,0,54,8.498191833496094
3,1,0,0,244,189.66412544250488
0,1,0,0,38,13.930320739746094
0,1,0,0,60,12.317180633544922
0,0,1,0,49,2.32696533203125
0,0,0,1,51,8.168697357177734
0,0,0,1,50,8.887767791748047
0,0,0,1,51,7.976293563842773
0,1,0,0,60,12.212991714477539
0,1,0,0,38,33.300161361694336
0,1,0,0,38,33.68330001831055
1,1,0,0,132,124.76229667663574
1,0,1,0,131,12.95018196105957
0,1,0,0,52,67.4128532409668
2,0,1,1,244,26.72123908996582
0,0,1,0,55,8.799552917480469
0,1,0,0,42,67.42286682128906
2,0,1,1,244,26.53050422668457
0,1,0,0,60,12.291669845581055
0,1,0,0,60,12.282133102416992
0,1,0,0,38,13.791799545288086
0,1,0,0,38,33.46061706542969
1,1,0,0,132,124.76015090942383
1,1,0,0,132,124.66001510620117
3,1,0,0,244,189.58282470703125
0,0,0,1,50,9.146928787231445
0,1,0,0,38,66.9553279876709
0,1,0,0,44,44.92831230163574
0,1,0,0,49,22.646427154541016
0,0,1,0,55,8.901119232177734
1,0,1,0,131,12.58230209350586
0,0,1,0,49,2.4042129516601562
0,1,0,0,41,22.460222244262695
0,1,0,0,52,68.16649436950684
3,1,0,0,244,191.35475158691406
0,1,0,0,52,71.67243957519531
0,0,1,0,49,2.592325210571289
0,1,0,0,42,67.3220157623291
0,0,0,1,50,9.21487808227539
0,1,0,0,49,22.68815040588379
0,1,0,0,41,22.63188362121582
0,1,0,0,44,46.343088150024414
0,1,0,0,38,34.718990325927734
0,1,0,0,52,84.25188064575195
0,1,0,0,49,22.707223892211914
0,0,0,1,50,9.163618087768555
0,1,0,0,52,68.45331192016602
0,1,0,0,42,67.15536117553711
